names	logfoldchanges	pvals	pvals_adj
LAMC2	3.7764928	1.3087227661700488e-18	
KRT17	3.6023571	3.043285802514658e-18	
TAGLN	2.7552047	7.133257142634537e-15	
TM4SF1	2.2157893	2.85133028990919e-13	
SFN	3.4056258	4.319112271459962e-13	
TRIM29	4.5798764	1.0064381335086787e-12	
FXYD3	2.9424593	9.74741444527926e-12	
S100P	5.37682	2.4849636118186235e-11	
COL1A2	2.4747682	6.364276031104258e-11	
PADI1	3.8859322	3.29156413803417e-07	
TNS4	4.0254855	4.6439956309586316e-05	
DNAJB1	2.0135846	0.00045311975552485517	
PITX1	3.1308262	0.0009445541654694591	
MUC16	29.406115	0.0023277890166369564	
SLCO4A1	2.4761884	0.0024351978781735587	
KLK10	2.4885077	0.004594369299958395	
GPR35	6.2606983	0.0048961428896732665	
SDCBP2	2.587732	0.008033220919313869	
MYH11	3.096828	0.03978553754259675	
IQCK	-2.0754495	0.04370717550867447	
GTF2IRD2	-28.043247	0.04353012092708205	
MID1	-28.162027	0.028756906566633714	
CCDC88C	-27.707998	0.028756906566633714	
C4BPA	-27.831306	0.028756906566633714	
NEURL1	-4.312599	0.0255700535242307	
SNAPIN	-2.4426892	0.021799154950208607	
SMIM19	-2.9391253	0.019921011306544015	
TCEAL4	-2.0622337	0.019297875722937417	
C6orf48	-3.4949422	0.018019678145616443	
VPS35	-2.667136	0.010706970551262717	
DCTPP1	-3.5348701	0.009284546828619648	
SNX1	-2.7369416	0.008878761693194336	
KCNQ1	-2.072299	0.008446533605076344	
SERPINA6	-3.103948	0.006004752618761003	
INS	-2.2785099	0.005912062092800989	
SCGB3A1	-4.4958916	0.0037061791553980573	
TTC39A	-2.2023718	0.0037061791553980573	
SPAG7	-2.60122	0.0036661707976990126	
KIFC3	-2.0539126	0.0036265555339217706	
SAMHD1	-2.2807283	0.003490948725477779	
C6	-5.1062374	0.0020543956974498415	
NFKBIA	-2.068499	0.0019625158510652627	
STOM	-2.1518612	0.001485987983719697	
KCNK3	-4.5248895	0.00124493246087187	
KIF12	-2.272647	0.0008464956821749585	
AHCYL1	-3.1237917	0.000239197083696361	
HLA-DPB1	-3.0333688	1.8963762047267355e-05	
SLC30A2	-5.217842	1.0617950806690544e-05	
LTF	-3.115638	2.497445669384854e-06	
SERPINA5	-3.1710744	3.381471144631009e-07	
KLK1	-4.3847666	2.0164317145502926e-08	
PIGR	-4.0710807	4.860925714487099e-09	
PPY	-2.1679864	5.233185381389242e-15	
PNLIPRP1	-3.7605257	4.338387246520545e-16	
REG3G	-3.0185733	1.5699440351145325e-16	
SPP1	-3.1817997	1.25001375148681e-16	
CPA5	-5.2088857	1.4245341365893085e-17	
CPB1	-2.1687272	1.3901855013386918e-19	
PNLIP	-4.438061	4.945407125789813e-20	
CELA3B	-3.2718549	2.5840027664286453e-22	
PRSS3	-4.0276003	1.368127259318508e-22	
CELA3A	-2.9491563	2.5598843698209625e-23	
CPA1	-3.5606441	2.1212439251360177e-23	
GP2	-2.962654	1.4466836523899374e-24	
CLPS	-2.6697152	1.0731232243313443e-24	
CTRC	-4.0531106	7.0290803637809995e-25	
CPA2	-3.9220731	5.995250307510254e-25	
CTRB1	-2.603653	3.0008824403668043e-25	
PRSS2	-2.3824515	2.7945739531906004e-25	
CEL	-3.0555253	1.6952165241333347e-25	
PRSS1	-3.5712113	9.548356186429635e-26	
