Name	Group
Sample_1	12
Sample_2	12
Sample_3	12
Sample_4	12
Sample_5	12
Sample_6	8
Sample_7	8
Sample_8	12
Sample_9	12
Sample_10	8
Sample_11	12
Sample_12	12
Sample_13	12
Sample_14	8
Sample_15	8
Sample_16	12
Sample_17	12
Sample_18	12
Sample_19	12
Sample_20	8
Sample_21	12
Sample_22	8
Sample_23	12
Sample_24	12
Sample_25	12
Sample_26	12
Sample_27	8
Sample_28	12
Sample_29	12
Sample_30	12
Sample_31	12
Sample_32	12
Sample_33	12
Sample_34	8
Sample_35	12
Sample_36	8
Sample_37	8
Sample_38	12
Sample_39	12
Sample_40	8
Sample_41	12
Sample_42	12
Sample_43	8
Sample_44	12
Sample_45	8
Sample_46	8
Sample_47	8
Sample_48	8
Sample_49	12
Sample_50	12
Sample_51	12
Sample_52	12
Sample_53	12
Sample_54	8
Sample_55	8
Sample_56	12
Sample_57	8
Sample_58	12
Sample_59	8
Sample_60	12
Sample_61	12
Sample_62	12
Sample_63	12
Sample_64	12
Sample_65	12
Sample_66	8
Sample_67	12
Sample_68	12
Sample_69	12
Sample_70	12
Sample_71	8
Sample_72	12
Sample_73	12
Sample_74	12
Sample_75	8
Sample_76	12
Sample_77	8
Sample_78	12
Sample_79	12
Sample_80	8
Sample_81	12
Sample_82	12
Sample_83	12
Sample_84	8
Sample_85	12
Sample_86	8
Sample_87	8
Sample_88	12
Sample_89	12
Sample_90	12
Sample_91	12
Sample_92	12
Sample_93	12
Sample_94	12
Sample_95	12
Sample_96	8
Sample_97	12
Sample_98	12
Sample_99	12
Sample_100	12
Sample_101	8
Sample_102	8
Sample_103	8
Sample_104	12
Sample_105	12
Sample_106	12
Sample_107	12
Sample_108	12
Sample_109	12
Sample_110	12
Sample_111	8
Sample_112	8
Sample_113	12
Sample_114	12
Sample_115	12
Sample_116	8
Sample_117	12
Sample_118	12
Sample_119	8
Sample_120	12
Sample_121	12
Sample_122	8
Sample_123	12
Sample_124	12
Sample_125	12
Sample_126	12
Sample_127	12
Sample_128	8
Sample_129	8
Sample_130	12
Sample_131	12
Sample_132	12
Sample_133	8
Sample_134	12
Sample_135	8
Sample_136	12
Sample_137	8
Sample_138	8
Sample_139	12
Sample_140	12
Sample_141	12
Sample_142	12
Sample_143	12
Sample_144	12
Sample_145	12
Sample_146	12
Sample_147	12
Sample_148	12
Sample_149	8
Sample_150	12
Sample_151	12
Sample_152	12
Sample_153	12
Sample_154	8
Sample_155	8
Sample_156	12
Sample_157	12
Sample_158	12
Sample_159	12
Sample_160	12
Sample_161	12
Sample_162	8
Sample_163	8
Sample_164	12
Sample_165	8
Sample_166	12
Sample_167	12
Sample_168	12
Sample_169	12
Sample_170	8
Sample_171	12
Sample_172	12
Sample_173	12
Sample_174	8
Sample_175	8
Sample_176	12
Sample_177	8
Sample_178	12
Sample_179	12
Sample_180	12
Sample_181	8
Sample_182	12
Sample_183	12
Sample_184	12
Sample_185	8
Sample_186	8
Sample_187	12
Sample_188	12
Sample_189	12
Sample_190	12
Sample_191	12
Sample_192	8
Sample_193	12
Sample_194	12
Sample_195	12
Sample_196	8
Sample_197	12
Sample_198	12
Sample_199	8
Sample_200	12
Sample_201	12
Sample_202	8
Sample_203	12
Sample_204	8
Sample_205	12
Sample_206	12
Sample_207	12
Sample_208	12
Sample_209	12
Sample_210	12
Sample_211	12
Sample_212	12
Sample_213	12
Sample_214	12
Sample_215	12
Sample_216	12
Sample_217	12
Sample_218	12
Sample_219	12
Sample_220	12
Sample_221	12
Sample_222	8
Sample_223	12
Sample_224	12
Sample_225	12
Sample_226	12
Sample_227	12
Sample_228	12
Sample_229	12
Sample_230	12
Sample_231	12
Sample_232	12
Sample_233	12
Sample_234	8
Sample_235	12
Sample_236	8
Sample_237	12
Sample_238	12
Sample_239	12
Sample_240	8
Sample_241	12
Sample_242	12
Sample_243	12
Sample_244	12
Sample_245	12
Sample_246	12
Sample_247	8
Sample_248	8
Sample_249	12
Sample_250	8
Sample_251	12
Sample_252	12
Sample_253	12
Sample_254	12
Sample_255	12
Sample_256	12
Sample_257	8
Sample_258	12
Sample_259	12
Sample_260	12
Sample_261	8
Sample_262	12
Sample_263	12
Sample_264	12
Sample_265	12
Sample_266	12
Sample_267	12
Sample_268	8
Sample_269	8
Sample_270	12
Sample_271	12
Sample_272	12
Sample_273	8
Sample_274	12
Sample_275	8
Sample_276	8
Sample_277	8
Sample_278	12
Sample_279	12
Sample_280	8
Sample_281	12
Sample_282	8
Sample_283	12
Sample_284	8
Sample_285	8
Sample_286	8
Sample_287	12
Sample_288	12
Sample_289	12
Sample_290	12
Sample_291	8
Sample_292	12
Sample_293	8
Sample_294	12
Sample_295	12
Sample_296	8
Sample_297	8
Sample_298	8
Sample_299	8
Sample_300	12
Sample_301	12
Sample_302	8
Sample_303	12
Sample_304	12
Sample_305	12
Sample_306	12
Sample_307	12
Sample_308	12
Sample_309	12
Sample_310	12
Sample_311	12
Sample_312	8
Sample_313	12
Sample_314	12
Sample_315	12
Sample_316	12
Sample_317	12
Sample_318	8
Sample_319	12
Sample_320	12
Sample_321	12
Sample_322	12
Sample_323	12
Sample_324	12
Sample_325	8
Sample_326	12
Sample_327	12
Sample_328	8
Sample_329	8
Sample_330	12
Sample_331	12
Sample_332	12
Sample_333	12
Sample_334	8
Sample_335	12
Sample_336	8
Sample_337	12
Sample_338	12
Sample_339	12
Sample_340	12
Sample_341	12
Sample_342	12
Sample_343	12
Sample_344	12
Sample_345	12
Sample_346	8
Sample_347	12
Sample_348	12
Sample_349	12
Sample_350	12
Sample_351	8
Sample_352	12
Sample_353	12
Sample_354	12
Sample_355	8
Sample_356	12
Sample_357	8
Sample_358	8
Sample_359	12
Sample_360	8
Sample_361	12
Sample_362	8
Sample_363	12
Sample_364	12
Sample_365	12
Sample_366	12
Sample_367	8
Sample_368	12
Sample_369	12
Sample_370	12
Sample_371	12
Sample_372	12
Sample_373	12
Sample_374	8
Sample_375	12
Sample_376	12
Sample_377	8
Sample_378	12
Sample_379	12
Sample_380	12
Sample_381	8
Sample_382	12
Sample_383	12
Sample_384	8
Sample_385	8
Sample_386	12
Sample_387	12
Sample_388	12
Sample_389	8
Sample_390	12
Sample_391	8
Sample_392	8
Sample_393	8
Sample_394	12
Sample_395	12
Sample_396	12
Sample_397	12
Sample_398	8
Sample_399	12
Sample_400	12
Sample_401	8
Sample_402	12
Sample_403	12
Sample_404	12
Sample_405	12
Sample_406	12
Sample_407	12
Sample_408	12
Sample_409	12
Sample_410	12
Sample_411	12
Sample_412	12
Sample_413	12
Sample_414	12
Sample_415	12
Sample_416	12
Sample_417	8
Sample_418	12
Sample_419	8
Sample_420	12
Sample_421	8
Sample_422	8
Sample_423	12
Sample_424	8
Sample_425	12
Sample_426	12
Sample_427	8
Sample_428	12
Sample_429	12
Sample_430	12
Sample_431	12
Sample_432	12
Sample_433	12
Sample_434	8
Sample_435	12
Sample_436	12
Sample_437	12
Sample_438	12
Sample_439	12
Sample_440	12
Sample_441	12
Sample_442	12
Sample_443	12
Sample_444	12
Sample_445	12
Sample_446	12
Sample_447	12
Sample_448	12
Sample_449	12
Sample_450	12
Sample_451	8
Sample_452	12
Sample_453	8
Sample_454	12
Sample_455	12
Sample_456	12
Sample_457	12
Sample_458	12
Sample_459	8
Sample_460	12
Sample_461	12
Sample_462	12
Sample_463	8
Sample_464	12
Sample_465	8
Sample_466	12
Sample_467	12
Sample_468	12
Sample_469	8
Sample_470	12
Sample_471	12
Sample_472	8
Sample_473	8
Sample_474	8
Sample_475	8
Sample_476	12
Sample_477	12
Sample_478	8
Sample_479	8
